batch_size,eps,fname,norm,steps,trials,acc,robust-acc
1000,1.0,type_original_comps_100_dense_512_normalized_1_trainable_1_007.h5,l2,100,10,0.9283,0.2149
1000,2.0,type_original_comps_100_dense_512_normalized_1_trainable_1_007.h5,l2,100,10,0.9283,0.0035
1000,0.3,type_original_comps_100_dense_512_normalized_1_trainable_1_007.h5,linf,100,10,0.9283,0.0
1000,0.15,type_original_comps_100_dense_512_normalized_1_trainable_1_007.h5,linf,100,10,0.9283,0.0
1000,1.0,type_original_comps_10_dense_128_normalized_0_trainable_0_008.h5,l2,40,1,0.9133,0.4252
1000,2.0,type_original_comps_10_dense_128_normalized_0_trainable_0_008.h5,l2,40,1,0.9133,0.0329
1000,0.3,type_original_comps_10_dense_128_normalized_0_trainable_0_008.h5,linf,40,1,0.9133,0.0
1000,0.15,type_original_comps_10_dense_128_normalized_0_trainable_0_008.h5,linf,40,1,0.9133,0.0077
1000,1.0,type_original_comps_10_dense_128_normalized_0_trainable_0_008.h5,l2,100,1,0.9133,0.4232
1000,2.0,type_original_comps_10_dense_128_normalized_0_trainable_0_008.h5,l2,100,1,0.9133,0.0323
1000,0.3,type_original_comps_10_dense_128_normalized_0_trainable_0_008.h5,linf,100,1,0.9133,0.0
1000,0.15,type_original_comps_10_dense_128_normalized_0_trainable_0_008.h5,linf,100,1,0.9133,0.0072
1000,1.0,type_original_comps_10_dense_128_normalized_0_trainable_0_008.h5,l2,40,10,0.9133,0.4172
1000,2.0,type_original_comps_10_dense_128_normalized_0_trainable_0_008.h5,l2,40,10,0.9133,0.0309
1000,0.3,type_original_comps_10_dense_128_normalized_0_trainable_0_008.h5,linf,40,10,0.9133,0.0
1000,0.15,type_original_comps_10_dense_128_normalized_0_trainable_0_008.h5,linf,40,10,0.9133,0.0068
1000,1.0,type_original_comps_10_dense_128_normalized_0_trainable_0_008.h5,l2,100,10,0.9133,0.4159
1000,2.0,type_original_comps_10_dense_128_normalized_0_trainable_0_008.h5,l2,100,10,0.9133,0.0302
1000,0.3,type_original_comps_10_dense_128_normalized_0_trainable_0_008.h5,linf,100,10,0.9133,0.0
1000,0.15,type_original_comps_10_dense_128_normalized_0_trainable_0_008.h5,linf,100,10,0.9133,0.0068
