batch_size,eps,model,norm,steps,trials,acc,robust-acc
1000,0.15,model-type_original_comps_40_dense_512_007.h5,linf,100,10,0.8662,0.0
1000,1.0,model-type_original_comps_50_dense_128_008.h5,l2,40,1,0.9091,0.0111
1000,2.0,model-type_original_comps_50_dense_128_008.h5,l2,40,1,0.9091,0.0
1000,0.3,model-type_original_comps_50_dense_128_008.h5,linf,40,1,0.9091,0.0
1000,0.15,model-type_original_comps_50_dense_128_008.h5,linf,40,1,0.9091,0.0
1000,1.0,model-type_original_comps_50_dense_128_008.h5,l2,100,1,0.9091,0.0115
1000,2.0,model-type_original_comps_50_dense_128_008.h5,l2,100,1,0.9091,0.0
1000,0.3,model-type_original_comps_50_dense_128_008.h5,linf,100,1,0.9091,0.0
1000,0.15,model-type_original_comps_50_dense_128_008.h5,linf,100,1,0.9091,0.0
1000,1.0,model-type_original_comps_50_dense_128_008.h5,l2,40,10,0.9091,0.0087
1000,2.0,model-type_original_comps_50_dense_128_008.h5,l2,40,10,0.9091,0.0
1000,0.3,model-type_original_comps_50_dense_128_008.h5,linf,40,10,0.9091,0.0
1000,0.15,model-type_original_comps_50_dense_128_008.h5,linf,40,10,0.9091,0.0
1000,1.0,model-type_original_comps_50_dense_128_008.h5,l2,100,10,0.9091,0.0083
1000,2.0,model-type_original_comps_50_dense_128_008.h5,l2,100,10,0.9091,0.0
1000,0.3,model-type_original_comps_50_dense_128_008.h5,linf,100,10,0.9091,0.0
1000,0.15,model-type_original_comps_50_dense_128_008.h5,linf,100,10,0.9091,0.0
1000,1.0,model-type_original_comps_50_dense_256_008.h5,l2,40,1,0.9521,0.0303
1000,2.0,model-type_original_comps_50_dense_256_008.h5,l2,40,1,0.9521,0.0
1000,0.3,model-type_original_comps_50_dense_256_008.h5,linf,40,1,0.9521,0.0
1000,0.15,model-type_original_comps_50_dense_256_008.h5,linf,40,1,0.9521,0.0
1000,1.0,model-type_original_comps_50_dense_256_008.h5,l2,100,1,0.9521,0.0281
1000,2.0,model-type_original_comps_50_dense_256_008.h5,l2,100,1,0.9521,0.0
1000,0.3,model-type_original_comps_50_dense_256_008.h5,linf,100,1,0.9521,0.0
1000,0.15,model-type_original_comps_50_dense_256_008.h5,linf,100,1,0.9521,0.0
1000,1.0,model-type_original_comps_50_dense_256_008.h5,l2,40,10,0.9521,0.0228
1000,2.0,model-type_original_comps_50_dense_256_008.h5,l2,40,10,0.9521,0.0
1000,0.3,model-type_original_comps_50_dense_256_008.h5,linf,40,10,0.9521,0.0
1000,0.15,model-type_original_comps_50_dense_256_008.h5,linf,40,10,0.9521,0.0
1000,1.0,model-type_original_comps_50_dense_256_008.h5,l2,100,10,0.9521,0.0224
1000,2.0,model-type_original_comps_50_dense_256_008.h5,l2,100,10,0.9521,0.0
1000,0.3,model-type_original_comps_50_dense_256_008.h5,linf,100,10,0.9521,0.0
1000,0.15,model-type_original_comps_50_dense_256_008.h5,linf,100,10,0.9521,0.0
1000,1.0,model-type_original_comps_50_dense_512_008.h5,l2,40,1,0.9305,0.0328
1000,2.0,model-type_original_comps_50_dense_512_008.h5,l2,40,1,0.9305,0.0
1000,0.3,model-type_original_comps_50_dense_512_008.h5,linf,40,1,0.9305,0.0
1000,0.15,model-type_original_comps_50_dense_512_008.h5,linf,40,1,0.9305,0.0
1000,1.0,model-type_original_comps_50_dense_512_008.h5,l2,100,1,0.9305,0.0317
1000,2.0,model-type_original_comps_50_dense_512_008.h5,l2,100,1,0.9305,0.0
1000,0.3,model-type_original_comps_50_dense_512_008.h5,linf,100,1,0.9305,0.0
1000,0.15,model-type_original_comps_50_dense_512_008.h5,linf,100,1,0.9305,0.0
1000,1.0,model-type_original_comps_50_dense_512_008.h5,l2,40,10,0.9305,0.0241
1000,2.0,model-type_original_comps_50_dense_512_008.h5,l2,40,10,0.9305,0.0
1000,0.3,model-type_original_comps_50_dense_512_008.h5,linf,40,10,0.9305,0.0
1000,0.15,model-type_original_comps_50_dense_512_008.h5,linf,40,10,0.9305,0.0
1000,1.0,model-type_original_comps_50_dense_512_008.h5,l2,100,10,0.9305,0.0238
1000,2.0,model-type_original_comps_50_dense_512_008.h5,l2,100,10,0.9305,0.0
1000,0.3,model-type_original_comps_50_dense_512_008.h5,linf,100,10,0.9305,0.0
1000,0.15,model-type_original_comps_50_dense_512_008.h5,linf,100,10,0.9305,0.0
1000,1.0,model-type_original_comps_60_dense_128_007.h5,l2,40,1,0.9446,0.0197
1000,2.0,model-type_original_comps_60_dense_128_007.h5,l2,40,1,0.9446,0.0
1000,0.3,model-type_original_comps_60_dense_128_007.h5,linf,40,1,0.9446,0.0
1000,0.15,model-type_original_comps_60_dense_128_007.h5,linf,40,1,0.9446,0.0
1000,1.0,model-type_original_comps_60_dense_128_007.h5,l2,100,1,0.9446,0.0195
1000,2.0,model-type_original_comps_60_dense_128_007.h5,l2,100,1,0.9446,0.0
1000,0.3,model-type_original_comps_60_dense_128_007.h5,linf,100,1,0.9446,0.0
1000,0.15,model-type_original_comps_60_dense_128_007.h5,linf,100,1,0.9446,0.0
1000,1.0,model-type_original_comps_60_dense_128_007.h5,l2,40,10,0.9446,0.016
1000,2.0,model-type_original_comps_60_dense_128_007.h5,l2,40,10,0.9446,0.0
1000,0.3,model-type_original_comps_60_dense_128_007.h5,linf,40,10,0.9446,0.0
1000,0.15,model-type_original_comps_60_dense_128_007.h5,linf,40,10,0.9446,0.0
1000,1.0,model-type_original_comps_60_dense_128_007.h5,l2,100,10,0.9446,0.0154
1000,2.0,model-type_original_comps_60_dense_128_007.h5,l2,100,10,0.9446,0.0
1000,0.3,model-type_original_comps_60_dense_128_007.h5,linf,100,10,0.9446,0.0
